member_id,signup_date,membership_type,monthly_fee,sessions_attended,personal_training_package,cancellation_status,age_group,referral_source,cancelled,signup_month,low_attendance_risk
56,2025-04-02,Student,24.99,25,No,no,25-34,Walk-in,False,2025-04,False
57,2025-03-23,Basic,29.99,27,Yes,yes,25-34,Google,True,2025-03,False
58,2025-08-24,Student,24.99,26,Yes,no,18-24,Google,False,2025-08,False
59,2025-07-24,Student,24.99,27,Yes,no,35-44,Facebook,False,2025-07,False
60,2025-07-24,Student,24.99,3,No,no,55+,Walk-in,False,2025-07,True
61,2025-01-20,Basic,29.99,13,No,no,35-44,Friend,False,2025-01,False
62,2025-11-07,Basic,29.99,28,No,no,35-44,Instagram,False,2025-11,False
63,2025-08-12,Basic,29.99,29,No,no,25-34,Walk-in,False,2025-08,False
64,2025-08-09,Basic,29.99,29,No,no,35-44,Instagram,False,2025-08,False
65,2025-06-03,Student,24.99,13,No,yes,35-44,Facebook,True,2025-06,False
66,2025-03-07,Premium,59.99,21,No,no,25-34,Facebook,False,2025-03,False
67,2025-10-19,Student,24.99,17,Yes,no,35-44,Google,False,2025-10,False
68,2025-08-09,Student,24.99,14,No,no,25-34,Facebook,False,2025-08,False
69,2025-08-31,Premium,59.99,2,No,no,55+,Walk-in,False,2025-08,True
70,2025-02-17,Premium,59.99,9,Yes,no,25-34,Instagram,False,2025-02,False
71,2025-01-24,Premium,59.99,19,Yes,yes,45-54,Facebook,True,2025-01,False
72,2025-04-10,Family,89.99,12,Yes,no,18-24,Instagram,False,2025-04,False
73,2025-08-06,Premium,59.99,25,No,no,45-54,Instagram,False,2025-08,False
74,2025-10-13,Premium,59.99,14,Yes,yes,55+,Facebook,True,2025-10,False
75,2025-11-01,Student,24.99,19,No,no,45-54,Facebook,False,2025-11,False
76,2025-08-17,Premium,59.99,27,No,yes,35-44,Google,True,2025-08,False
77,2025-11-23,Student,24.99,15,No,no,35-44,Friend,False,2025-11,False
78,2025-02-09,Student,24.99,8,No,no,55+,Instagram,False,2025-02,False
79,2025-03-12,Premium,59.99,12,No,no,25-34,Instagram,False,2025-03,False
80,2025-08-01,Family,89.99,17,No,yes,18-24,Google,True,2025-08,False
81,2025-08-04,Family,89.99,30,No,yes,55+,Friend,True,2025-08,False
82,2025-09-02,Basic,29.99,9,No,yes,55+,Facebook,True,2025-09,False
83,2025-11-05,Premium,59.99,7,No,yes,45-54,Instagram,True,2025-11,False
84,2025-07-19,Student,24.99,21,No,no,25-34,Friend,False,2025-07,False
85,2025-03-07,Basic,29.99,18,No,no,18-24,Instagram,False,2025-03,False
86,2025-11-26,Family,89.99,27,No,no,18-24,Walk-in,False,2025-11,False
87,2025-07-14,Student,24.99,14,No,no,45-54,Walk-in,False,2025-07,False
88,2025-08-04,Student,24.99,15,Yes,no,55+,Instagram,False,2025-08,False
89,2025-06-29,Premium,59.99,2,No,yes,18-24,Google,True,2025-06,True
90,2025-04-13,Basic,29.99,4,Yes,no,45-54,Instagram,False,2025-04,False
91,2025-10-16,Premium,59.99,22,No,no,25-34,Facebook,False,2025-10,False
92,2025-11-07,Basic,29.99,30,No,yes,55+,Instagram,True,2025-11,False
93,2025-06-09,Family,89.99,30,No,no,18-24,Facebook,False,2025-06,False
94,2025-11-18,Premium,59.99,22,No,no,55+,Instagram,False,2025-11,False
95,2025-10-17,Basic,29.99,17,No,no,35-44,Instagram,False,2025-10,False
96,2025-09-17,Student,24.99,27,No,yes,18-24,Friend,True,2025-09,False
97,2025-07-05,Family,89.99,4,No,no,55+,Walk-in,False,2025-07,False
98,2025-11-12,Family,89.99,13,No,no,35-44,Walk-in,False,2025-11,False
99,2025-05-06,Basic,29.99,28,No,no,45-54,Facebook,False,2025-05,False
100,2025-11-09,Family,89.99,0,No,no,25-34,Friend,False,2025-11,True
101,2025-04-19,Student,24.99,10,No,no,35-44,Facebook,False,2025-04,False
102,2025-01-06,Premium,59.99,7,No,yes,45-54,Facebook,True,2025-01,False
103,2025-05-04,Family,89.99,22,No,yes,18-24,Instagram,True,2025-05,False
104,2025-05-31,Premium,59.99,22,Yes,no,55+,Walk-in,False,2025-05,False
105,2025-08-31,Student,24.99,23,No,no,35-44,Friend,False,2025-08,False
106,2025-05-19,Student,24.99,7,Yes,no,25-34,Walk-in,False,2025-05,False
107,2025-03-03,Premium,59.99,6,No,yes,35-44,Facebook,True,2025-03,False
108,2025-09-26,Student,24.99,26,Yes,no,25-34,Walk-in,False,2025-09,False
109,2025-04-02,Student,24.99,22,No,no,35-44,Instagram,False,2025-04,False
110,2025-01-28,Student,24.99,30,Yes,no,45-54,Instagram,False,2025-01,False
111,2025-01-07,Student,24.99,15,No,no,25-34,Instagram,False,2025-01,False
112,2025-05-10,Family,89.99,26,Yes,yes,45-54,Instagram,True,2025-05,False
113,2025-10-23,Basic,29.99,4,No,no,18-24,Google,False,2025-10,False
114,2025-03-02,Family,89.99,19,No,no,55+,Friend,False,2025-03,False
115,2025-08-19,Family,89.99,27,No,yes,35-44,Facebook,True,2025-08,False
116,2025-11-14,Basic,29.99,30,No,yes,25-34,Google,True,2025-11,False
117,2025-05-16,Basic,29.99,7,Yes,no,18-24,Google,False,2025-05,False
118,2025-01-02,Family,89.99,22,No,yes,35-44,Instagram,True,2025-01,False
119,2025-04-29,Student,24.99,9,No,yes,18-24,Google,True,2025-04,False
120,2025-05-16,Premium,59.99,3,No,no,25-34,Walk-in,False,2025-05,True
121,2025-03-14,Basic,29.99,5,No,no,55+,Walk-in,False,2025-03,False
122,2025-08-13,Basic,29.99,22,No,no,45-54,Walk-in,False,2025-08,False
123,2025-09-14,Family,89.99,2,No,yes,45-54,Walk-in,True,2025-09,True
124,2025-11-06,Student,24.99,2,Yes,no,55+,Facebook,False,2025-11,True
125,2025-01-11,Student,24.99,1,Yes,yes,55+,Friend,True,2025-01,True
126,2025-05-23,Premium,59.99,13,No,yes,18-24,Friend,True,2025-05,False
127,2025-06-28,Family,89.99,10,No,yes,25-34,Walk-in,True,2025-06,False
128,2025-07-30,Family,89.99,21,No,no,18-24,Friend,False,2025-07,False
129,2025-02-15,Student,24.99,10,Yes,yes,55+,Instagram,True,2025-02,False
130,2025-10-05,Family,89.99,1,Yes,no,35-44,Facebook,False,2025-10,True
131,2025-09-13,Family,89.99,6,No,no,25-34,Walk-in,False,2025-09,False
132,2025-08-13,Family,89.99,0,No,no,25-34,Google,False,2025-08,True
133,2025-06-09,Basic,29.99,13,Yes,no,18-24,Friend,False,2025-06,False
134,2025-03-02,Premium,59.99,29,No,no,55+,Walk-in,False,2025-03,False
135,2025-08-01,Family,89.99,7,No,no,25-34,Friend,False,2025-08,False
136,2025-04-08,Premium,59.99,8,No,no,55+,Walk-in,False,2025-04,False
137,2025-01-02,Student,24.99,9,No,no,45-54,Google,False,2025-01,False
138,2025-08-17,Family,89.99,10,No,no,45-54,Friend,False,2025-08,False
139,2025-06-14,Premium,59.99,7,No,yes,25-34,Friend,True,2025-06,False
140,2025-01-23,Student,24.99,15,No,yes,45-54,Google,True,2025-01,False
141,2025-09-11,Basic,29.99,16,No,no,18-24,Friend,False,2025-09,False
142,2025-02-21,Family,89.99,23,Yes,yes,25-34,Instagram,True,2025-02,False
143,2025-08-29,Student,24.99,19,No,yes,18-24,Walk-in,True,2025-08,False
144,2025-10-01,Family,89.99,20,No,yes,55+,Instagram,True,2025-10,False
145,2025-11-13,Basic,29.99,20,No,no,25-34,Instagram,False,2025-11,False
146,2025-08-11,Basic,29.99,22,Yes,yes,25-34,Walk-in,True,2025-08,False
147,2025-01-15,Basic,29.99,25,Yes,no,35-44,Walk-in,False,2025-01,False
148,2025-08-09,Premium,59.99,16,No,no,25-34,Google,False,2025-08,False
149,2025-03-31,Basic,29.99,27,No,no,25-34,Friend,False,2025-03,False
150,2025-10-26,Premium,59.99,14,No,no,45-54,Walk-in,False,2025-10,False
151,2025-01-05,Family,89.99,21,No,no,18-24,Friend,False,2025-01,False
152,2025-06-26,Student,24.99,30,No,no,35-44,Friend,False,2025-06,False
153,2025-06-04,Premium,59.99,27,No,yes,25-34,Friend,True,2025-06,False
154,2025-10-20,Student,24.99,9,No,no,18-24,Friend,False,2025-10,False
155,2025-05-21,Basic,29.99,27,No,no,18-24,Facebook,False,2025-05,False
156,2025-09-12,Student,24.99,19,No,no,25-34,Facebook,False,2025-09,False
157,2025-05-09,Premium,59.99,3,No,no,18-24,Walk-in,False,2025-05,True
158,2025-08-14,Basic,29.99,11,No,no,18-24,Walk-in,False,2025-08,False
159,2025-06-17,Family,89.99,6,Yes,no,35-44,Facebook,False,2025-06,False
160,2025-09-14,Student,24.99,8,No,no,35-44,Instagram,False,2025-09,False
161,2025-08-28,Basic,29.99,24,Yes,no,45-54,Facebook,False,2025-08,False
162,2025-07-07,Basic,29.99,0,No,no,18-24,Friend,False,2025-07,True
163,2025-07-08,Student,24.99,12,No,no,18-24,Google,False,2025-07,False
164,2025-08-30,Basic,29.99,28,No,no,55+,Google,False,2025-08,False
165,2025-02-02,Family,89.99,9,No,yes,18-24,Google,True,2025-02,False
166,2025-01-24,Basic,29.99,15,Yes,yes,25-34,Facebook,True,2025-01,False
167,2025-03-11,Family,89.99,11,No,no,55+,Friend,False,2025-03,False
168,2025-10-28,Premium,59.99,20,Yes,yes,55+,Friend,True,2025-10,False
169,2025-05-24,Basic,29.99,11,Yes,yes,45-54,Google,True,2025-05,False
170,2025-07-05,Basic,29.99,11,No,no,35-44,Instagram,False,2025-07,False
171,2025-07-23,Student,24.99,30,Yes,yes,18-24,Google,True,2025-07,False
172,2025-11-25,Basic,29.99,25,No,no,25-34,Facebook,False,2025-11,False
173,2025-04-16,Basic,29.99,6,No,no,25-34,Walk-in,False,2025-04,False
174,2025-03-17,Basic,29.99,27,Yes,no,55+,Walk-in,False,2025-03,False
175,2025-03-31,Basic,29.99,27,Yes,no,18-24,Walk-in,False,2025-03,False
176,2025-05-02,Student,24.99,5,No,yes,25-34,Friend,True,2025-05,False
177,2025-09-27,Basic,29.99,2,No,yes,35-44,Facebook,True,2025-09,True
178,2025-10-31,Basic,29.99,16,Yes,no,18-24,Facebook,False,2025-10,False
179,2025-06-04,Family,89.99,30,Yes,yes,45-54,Friend,True,2025-06,False
180,2025-08-07,Basic,29.99,22,No,yes,18-24,Walk-in,True,2025-08,False
181,2025-11-08,Premium,59.99,4,No,no,55+,Facebook,False,2025-11,False
182,2025-06-16,Family,89.99,16,No,yes,55+,Facebook,True,2025-06,False
183,2025-08-09,Basic,29.99,3,No,no,55+,Google,False,2025-08,True
184,2025-08-09,Family,89.99,13,No,yes,45-54,Friend,True,2025-08,False
185,2025-02-18,Student,24.99,10,No,no,35-44,Google,False,2025-02,False
186,2025-08-31,Basic,29.99,26,Yes,yes,45-54,Instagram,True,2025-08,False
187,2025-07-10,Premium,59.99,1,No,no,55+,Walk-in,False,2025-07,True
188,2025-03-04,Family,89.99,27,No,yes,18-24,Walk-in,True,2025-03,False
189,2025-11-04,Student,24.99,3,No,no,25-34,Google,False,2025-11,True
190,2025-09-04,Premium,59.99,11,No,no,18-24,Walk-in,False,2025-09,False
191,2025-10-21,Premium,59.99,27,No,no,55+,Facebook,False,2025-10,False
192,2025-01-14,Student,24.99,5,No,no,35-44,Walk-in,False,2025-01,False
193,2025-06-29,Basic,29.99,27,Yes,no,45-54,Instagram,False,2025-06,False
194,2025-03-14,Basic,29.99,23,No,no,45-54,Friend,False,2025-03,False
195,2025-08-21,Student,24.99,11,No,no,35-44,Facebook,False,2025-08,False
196,2025-11-02,Basic,29.99,4,Yes,no,18-24,Instagram,False,2025-11,False
197,2025-05-20,Family,89.99,13,No,no,45-54,Friend,False,2025-05,False
198,2025-05-20,Premium,59.99,3,No,yes,18-24,Walk-in,True,2025-05,True
199,2025-10-31,Family,89.99,21,No,yes,25-34,Friend,True,2025-10,False
200,2025-11-03,Basic,29.99,6,No,no,25-34,Walk-in,False,2025-11,False
201,2025-05-29,Student,24.99,0,No,no,45-54,Google,False,2025-05,True
202,2025-03-08,Family,89.99,22,Yes,no,55+,Walk-in,False,2025-03,False
203,2025-02-06,Family,89.99,1,No,yes,45-54,Instagram,True,2025-02,True
204,2025-06-10,Family,89.99,12,No,no,45-54,Walk-in,False,2025-06,False
205,2025-02-28,Family,89.99,30,No,no,55+,Friend,False,2025-02,False
206,2025-07-05,Basic,29.99,27,Yes,no,45-54,Facebook,False,2025-07,False
207,2025-07-25,Basic,29.99,27,No,no,35-44,Google,False,2025-07,False
208,2025-06-20,Premium,59.99,16,No,yes,55+,Facebook,True,2025-06,False
209,2025-04-10,Student,24.99,23,No,no,25-34,Instagram,False,2025-04,False
210,2025-03-16,Student,24.99,5,No,no,18-24,Google,False,2025-03,False
211,2025-11-18,Family,89.99,24,No,no,45-54,Facebook,False,2025-11,False
212,2025-11-26,Student,24.99,10,Yes,yes,18-24,Friend,True,2025-11,False
213,2025-08-15,Student,24.99,18,Yes,no,55+,Instagram,False,2025-08,False
214,2025-06-08,Family,89.99,1,Yes,no,35-44,Instagram,False,2025-06,True
215,2025-11-27,Basic,29.99,19,No,yes,45-54,Facebook,True,2025-11,False
216,2025-10-11,Basic,29.99,29,No,no,25-34,Walk-in,False,2025-10,False
217,2025-11-06,Family,89.99,4,Yes,yes,18-24,Walk-in,True,2025-11,False
218,2025-02-13,Premium,59.99,7,No,yes,45-54,Facebook,True,2025-02,False
219,2025-09-25,Premium,59.99,11,No,yes,45-54,Walk-in,True,2025-09,False
220,2025-11-03,Basic,29.99,20,No,yes,35-44,Instagram,True,2025-11,False
221,2025-10-13,Family,89.99,8,No,no,55+,Google,False,2025-10,False
222,2025-06-20,Basic,29.99,21,Yes,no,35-44,Friend,False,2025-06,False
223,2025-03-08,Basic,29.99,17,No,no,35-44,Google,False,2025-03,False
224,2025-09-27,Basic,29.99,21,No,no,35-44,Instagram,False,2025-09,False
225,2025-07-05,Student,24.99,30,Yes,no,45-54,Google,False,2025-07,False
226,2025-04-26,Premium,59.99,2,No,yes,55+,Facebook,True,2025-04,True
227,2025-09-27,Basic,29.99,10,No,no,55+,Friend,False,2025-09,False
228,2025-03-20,Premium,59.99,26,No,no,25-34,Friend,False,2025-03,False
229,2025-01-23,Family,89.99,21,No,no,45-54,Facebook,False,2025-01,False
230,2025-05-26,Family,89.99,17,Yes,no,45-54,Google,False,2025-05,False
231,2025-07-08,Family,89.99,24,No,yes,55+,Facebook,True,2025-07,False
232,2025-08-03,Premium,59.99,25,No,no,35-44,Instagram,False,2025-08,False
233,2025-11-25,Family,89.99,17,Yes,no,55+,Instagram,False,2025-11,False
234,2025-05-26,Basic,29.99,8,No,no,25-34,Friend,False,2025-05,False
235,2025-02-16,Premium,59.99,28,No,yes,45-54,Instagram,True,2025-02,False
236,2025-07-22,Student,24.99,12,Yes,no,25-34,Instagram,False,2025-07,False
237,2025-06-13,Basic,29.99,20,No,no,25-34,Instagram,False,2025-06,False
238,2025-05-27,Family,89.99,26,Yes,no,45-54,Friend,False,2025-05,False
239,2025-11-12,Basic,29.99,0,No,no,25-34,Facebook,False,2025-11,True
240,2025-11-08,Family,89.99,24,No,no,35-44,Instagram,False,2025-11,False
241,2025-01-25,Premium,59.99,20,No,yes,18-24,Instagram,True,2025-01,False
242,2025-09-13,Basic,29.99,16,No,no,25-34,Walk-in,False,2025-09,False
243,2025-08-08,Basic,29.99,11,Yes,no,45-54,Google,False,2025-08,False
244,2025-02-13,Student,24.99,30,No,no,55+,Facebook,False,2025-02,False
245,2025-10-11,Basic,29.99,27,No,yes,45-54,Walk-in,True,2025-10,False
246,2025-05-10,Basic,29.99,25,Yes,no,25-34,Instagram,False,2025-05,False
247,2025-10-25,Student,24.99,1,No,no,35-44,Google,False,2025-10,True
248,2025-08-26,Family,89.99,5,Yes,yes,45-54,Instagram,True,2025-08,False
249,2025-05-31,Premium,59.99,25,Yes,yes,35-44,Walk-in,True,2025-05,False
250,2025-09-21,Family,89.99,15,No,yes,25-34,Walk-in,True,2025-09,False
251,2025-07-02,Basic,29.99,10,No,yes,35-44,Friend,True,2025-07,False
252,2025-07-24,Family,89.99,10,Yes,yes,45-54,Walk-in,True,2025-07,False
253,2025-09-23,Student,24.99,23,No,yes,45-54,Facebook,True,2025-09,False
254,2025-04-03,Student,24.99,3,Yes,no,35-44,Walk-in,False,2025-04,True
255,2025-08-17,Family,89.99,22,No,no,45-54,Instagram,False,2025-08,False
256,2025-06-30,Family,89.99,20,Yes,yes,45-54,Walk-in,True,2025-06,False
257,2025-09-20,Premium,59.99,4,No,no,45-54,Instagram,False,2025-09,False
258,2025-03-06,Basic,29.99,24,No,no,35-44,Friend,False,2025-03,False
259,2025-10-18,Basic,29.99,4,No,yes,35-44,Walk-in,True,2025-10,False
260,2025-08-16,Basic,29.99,4,No,no,45-54,Walk-in,False,2025-08,False
261,2025-05-23,Premium,59.99,0,No,no,45-54,Facebook,False,2025-05,True
262,2025-07-18,Basic,29.99,24,No,no,45-54,Google,False,2025-07,False
263,2025-11-10,Student,24.99,29,No,no,18-24,Google,False,2025-11,False
264,2025-02-07,Family,89.99,28,No,yes,18-24,Walk-in,True,2025-02,False
265,2025-06-27,Basic,29.99,17,No,no,25-34,Google,False,2025-06,False
266,2025-07-05,Premium,59.99,6,Yes,no,45-54,Instagram,False,2025-07,False
267,2025-07-04,Student,24.99,25,No,no,55+,Instagram,False,2025-07,False
268,2025-02-03,Student,24.99,22,No,yes,55+,Friend,True,2025-02,False
269,2025-07-29,Basic,29.99,10,No,yes,45-54,Friend,True,2025-07,False
270,2025-09-22,Student,24.99,28,No,no,55+,Google,False,2025-09,False
271,2025-03-08,Family,89.99,29,Yes,yes,55+,Google,True,2025-03,False
272,2025-06-05,Premium,59.99,10,No,no,35-44,Facebook,False,2025-06,False
273,2025-05-26,Basic,29.99,6,No,no,35-44,Google,False,2025-05,False
274,2025-11-17,Student,24.99,17,Yes,no,25-34,Facebook,False,2025-11,False
275,2025-10-25,Premium,59.99,21,No,no,55+,Walk-in,False,2025-10,False
276,2025-10-16,Basic,29.99,2,Yes,no,55+,Walk-in,False,2025-10,True
277,2025-04-18,Family,89.99,20,Yes,yes,55+,Walk-in,True,2025-04,False
278,2025-11-25,Student,24.99,7,No,yes,35-44,Friend,True,2025-11,False
279,2025-02-07,Basic,29.99,14,No,yes,45-54,Google,True,2025-02,False
280,2025-06-24,Premium,59.99,27,No,no,35-44,Friend,False,2025-06,False
281,2025-03-08,Student,24.99,17,Yes,no,25-34,Friend,False,2025-03,False
282,2025-03-04,Student,24.99,7,Yes,yes,18-24,Walk-in,True,2025-03,False
283,2025-07-16,Family,89.99,30,Yes,no,55+,Walk-in,False,2025-07,False
284,2025-04-08,Premium,59.99,16,No,yes,35-44,Friend,True,2025-04,False
285,2025-01-12,Basic,29.99,16,No,no,25-34,Facebook,False,2025-01,False
286,2025-06-30,Basic,29.99,9,No,no,45-54,Walk-in,False,2025-06,False
287,2025-10-02,Basic,29.99,13,Yes,no,35-44,Friend,False,2025-10,False
288,2025-07-07,Basic,29.99,1,No,no,25-34,Walk-in,False,2025-07,True
289,2025-10-11,Student,24.99,12,No,yes,55+,Walk-in,True,2025-10,False
290,2025-11-16,Basic,29.99,3,No,no,35-44,Facebook,False,2025-11,True
291,2025-07-07,Premium,59.99,19,No,yes,55+,Instagram,True,2025-07,False
292,2025-01-24,Basic,29.99,22,No,yes,55+,Friend,True,2025-01,False
293,2025-03-18,Premium,59.99,29,No,no,25-34,Friend,False,2025-03,False
294,2025-11-12,Student,24.99,10,No,no,55+,Friend,False,2025-11,False
295,2025-10-16,Student,24.99,26,Yes,no,35-44,Instagram,False,2025-10,False
296,2025-08-02,Student,24.99,27,No,no,18-24,Facebook,False,2025-08,False
297,2025-08-31,Student,24.99,25,No,no,25-34,Instagram,False,2025-08,False
298,2025-10-26,Family,89.99,16,No,no,55+,Friend,False,2025-10,False
299,2025-03-17,Premium,59.99,18,No,yes,25-34,Instagram,True,2025-03,False
300,2025-08-14,Student,24.99,4,No,no,25-34,Friend,False,2025-08,False
