Member ID,Signup Date,Membership Type,Monthly Fee,Sessions Attended,Personal Training Package,Cancellation Status,Age Group,Referral Source
47,06/04/2025,Basic,29.99,26,,no,18-24,Google
48,05/16/2025,Basic,$29.99,23,,No,35-44,Walk-in
49,11/06/2025,Premium,59.99,10,Yes,,35-44,Facebook
50,09/08/2025,Student,$24.99,2,,YES,35-44,Instagram
51,01/02/2025,Student,$24.99,20,No,No,45-54,Facebook
52,08/07/2025,Basic,$29.99,2,,No,55+,Instagram
53,07/09/2025,Premium,59.99,4,Yes,no,35-44,Instagram
54,07/03/2025,Premium,59.99,7,,Yes,35-44,Facebook
55,07/28/2025,Premium,$59.99,27,Yes,No,45-54,Instagram
56,04/02/2025,Student,24.99,25,,,25-34,Walk-in
57,03/23/2025,Basic,29.99,27,Yes,YES,25-34,Google
58,08/24/2025,Student,24.99,26,Yes,No,18-24,Google
59,07/24/2025,Student,24.99,27,Yes,no,35-44,Facebook
60,07/24/2025,Student,$24.99,3,No,No,55+,Walk-in
61,01/20/2025,Basic,29.99,13,No,,35-44,Friend
62,11/07/2025,Basic,29.99,28,,No,35-44,Instagram
63,08/12/2025,Basic,29.99,29,,,25-34,Walk-in
64,08/09/2025,Basic,29.99,29,No,,35-44,Instagram
65,06/03/2025,Student,24.99,13,No,YES,35-44,Facebook
66,03/07/2025,Premium,59.99,21,No,,25-34,Facebook
67,10/19/2025,Student,24.99,17,Yes,no,35-44,Google
68,08/09/2025,Student,24.99,14,No,,25-34,Facebook
69,08/31/2025,Premium,59.99,2,No,,55+,Walk-in
70,02/17/2025,Premium,59.99,9,Yes,No,25-34,Instagram
71,01/24/2025,Premium,59.99,19,Yes,YES,45-54,Facebook
72,04/10/2025,Family,89.99,12,Yes,No,18-24,Instagram
73,08/06/2025,Premium,$59.99,25,,,45-54,Instagram
74,10/13/2025,Premium,$59.99,14,Yes,YES,55+,Facebook
75,11/01/2025,Student,24.99,19,,,45-54,Facebook
76,08/17/2025,Premium,59.99,27,No,YES,35-44,Google
77,11/23/2025,Student,24.99,15,,No,35-44,Friend
78,02/09/2025,Student,$24.99,8,No,no,55+,Instagram
79,03/12/2025,Premium,$59.99,12,,No,25-34,Instagram
80,08/01/2025,Family,89.99,17,No,YES,18-24,Google
81,08/04/2025,Family,89.99,30,,Yes,55+,Friend
82,09/02/2025,Basic,29.99,9,No,YES,55+,Facebook
83,11/05/2025,Premium,59.99,7,No,YES,45-54,Instagram
84,07/19/2025,Student,24.99,21,No,,25-34,Friend
85,03/07/2025,Basic,29.99,18,,,18-24,Instagram
86,11/26/2025,Family,$89.99,27,No,No,18-24,Walk-in
87,07/14/2025,Student,$24.99,14,No,no,45-54,Walk-in
88,08/04/2025,Student,$24.99,15,Yes,,55+,Instagram
89,06/29/2025,Premium,59.99,2,,Yes,18-24,Google
90,04/13/2025,Basic,29.99,4,Yes,No,45-54,Instagram
91,10/16/2025,Premium,59.99,22,No,no,25-34,Facebook
92,11/07/2025,Basic,$29.99,30,No,Yes,55+,Instagram
93,06/09/2025,Family,89.99,30,,No,18-24,Facebook
94,11/18/2025,Premium,$59.99,22,No,,55+,Instagram
95,10/17/2025,Basic,29.99,17,No,,35-44,Instagram
96,09/17/2025,Student,$24.99,27,No,YES,18-24,Friend
97,07/05/2025,Family,89.99,4,No,No,55+,Walk-in
98,11/12/2025,Family,89.99,13,,,35-44,Walk-in
99,05/06/2025,Basic,29.99,28,No,No,45-54,Facebook
100,11/09/2025,Family,89.99,0,No,no,25-34,Friend
101,04/19/2025,Student,24.99,10,No,,35-44,Facebook
102,01/06/2025,Premium,$59.99,7,,YES,45-54,Facebook
103,05/04/2025,Family,89.99,22,No,YES,18-24,Instagram
104,05/31/2025,Premium,59.99,22,Yes,no,55+,Walk-in
105,08/31/2025,Student,24.99,23,,no,35-44,Friend
106,05/19/2025,Student,24.99,7,Yes,,25-34,Walk-in
107,03/03/2025,Premium,$59.99,6,,YES,35-44,Facebook
108,09/26/2025,Student,$24.99,26,Yes,no,25-34,Walk-in
109,04/02/2025,Student,$24.99,22,,No,35-44,Instagram
110,01/28/2025,Student,24.99,30,Yes,,45-54,Instagram
111,01/07/2025,Student,24.99,15,No,no,25-34,Instagram
112,05/10/2025,Family,$89.99,26,Yes,YES,45-54,Instagram
113,10/23/2025,Basic,$29.99,4,,no,18-24,Google
114,03/02/2025,Family,89.99,19,,No,55+,Friend
115,08/19/2025,Family,89.99,27,,YES,35-44,Facebook
116,11/14/2025,Basic,29.99,30,,Yes,25-34,Google
117,05/16/2025,Basic,$29.99,7,Yes,,18-24,Google
118,01/02/2025,Family,89.99,22,,YES,35-44,Instagram
119,04/29/2025,Student,24.99,9,,YES,18-24,Google
120,05/16/2025,Premium,59.99,3,,No,25-34,Walk-in
121,03/14/2025,Basic,$29.99,5,No,,55+,Walk-in
122,08/13/2025,Basic,29.99,22,No,,45-54,Walk-in
123,09/14/2025,Family,89.99,2,,Yes,45-54,Walk-in
124,11/06/2025,Student,$24.99,2,Yes,,55+,Facebook
125,01/11/2025,Student,24.99,1,Yes,YES,55+,Friend
126,05/23/2025,Premium,59.99,13,,YES,18-24,Friend
127,06/28/2025,Family,89.99,10,,Yes,25-34,Walk-in
128,07/30/2025,Family,89.99,21,No,,18-24,Friend
129,02/15/2025,Student,24.99,10,Yes,YES,55+,Instagram
130,10/05/2025,Family,89.99,1,Yes,,35-44,Facebook
131,09/13/2025,Family,$89.99,6,No,,25-34,Walk-in
132,08/13/2025,Family,$89.99,0,,,25-34,Google
133,06/09/2025,Basic,29.99,13,Yes,No,18-24,Friend
134,03/02/2025,Premium,59.99,29,,no,55+,Walk-in
135,08/01/2025,Family,89.99,7,No,,25-34,Friend
136,04/08/2025,Premium,$59.99,8,No,no,55+,Walk-in
137,01/02/2025,Student,24.99,9,,,45-54,Google
138,08/17/2025,Family,89.99,10,,,45-54,Friend
139,06/14/2025,Premium,59.99,7,,YES,25-34,Friend
140,01/23/2025,Student,24.99,15,,YES,45-54,Google
141,09/11/2025,Basic,$29.99,16,,no,18-24,Friend
142,02/21/2025,Family,$89.99,23,Yes,YES,25-34,Instagram
143,08/29/2025,Student,24.99,19,,YES,18-24,Walk-in
144,10/01/2025,Family,89.99,20,,YES,55+,Instagram
145,11/13/2025,Basic,$29.99,20,,no,25-34,Instagram
146,08/11/2025,Basic,29.99,22,Yes,YES,25-34,Walk-in
147,01/15/2025,Basic,29.99,25,Yes,no,35-44,Walk-in
148,08/09/2025,Premium,$59.99,16,No,,25-34,Google
149,03/31/2025,Basic,29.99,27,No,,25-34,Friend
150,10/26/2025,Premium,$59.99,14,,no,45-54,Walk-in
151,01/05/2025,Family,89.99,21,,No,18-24,Friend
152,06/26/2025,Student,24.99,30,No,,35-44,Friend
153,06/04/2025,Premium,59.99,27,No,Yes,25-34,Friend
154,10/20/2025,Student,24.99,9,,no,18-24,Friend
155,05/21/2025,Basic,29.99,27,,,18-24,Facebook
156,09/12/2025,Student,$24.99,19,No,No,25-34,Facebook
157,05/09/2025,Premium,59.99,3,,,18-24,Walk-in
158,08/14/2025,Basic,29.99,11,,No,18-24,Walk-in
159,06/17/2025,Family,$89.99,6,Yes,,35-44,Facebook
160,09/14/2025,Student,$24.99,8,No,no,35-44,Instagram
161,08/28/2025,Basic,$29.99,24,Yes,,45-54,Facebook
162,07/07/2025,Basic,29.99,0,No,,18-24,Friend
163,07/08/2025,Student,24.99,12,,no,18-24,Google
164,08/30/2025,Basic,29.99,28,,no,55+,Google
165,02/02/2025,Family,89.99,9,,YES,18-24,Google
166,01/24/2025,Basic,29.99,15,Yes,Yes,25-34,Facebook
167,03/11/2025,Family,89.99,11,,,55+,Friend
168,10/28/2025,Premium,59.99,20,Yes,YES,55+,Friend
169,05/24/2025,Basic,29.99,11,Yes,YES,45-54,Google
170,07/05/2025,Basic,29.99,11,,,35-44,Instagram
171,07/23/2025,Student,$24.99,30,Yes,YES,18-24,Google
172,11/25/2025,Basic,$29.99,25,No,No,25-34,Facebook
173,04/16/2025,Basic,29.99,6,,No,25-34,Walk-in
174,03/17/2025,Basic,29.99,27,Yes,No,55+,Walk-in
175,03/31/2025,Basic,29.99,27,Yes,No,18-24,Walk-in
176,05/02/2025,Student,$24.99,5,No,Yes,25-34,Friend
177,09/27/2025,Basic,29.99,2,No,YES,35-44,Facebook
178,10/31/2025,Basic,29.99,16,Yes,,18-24,Facebook
179,06/04/2025,Family,89.99,30,Yes,Yes,45-54,Friend
180,08/07/2025,Basic,29.99,22,No,Yes,18-24,Walk-in
181,11/08/2025,Premium,$59.99,4,No,,55+,Facebook
182,06/16/2025,Family,89.99,16,No,YES,55+,Facebook
183,08/09/2025,Basic,29.99,3,,,55+,Google
184,08/09/2025,Family,$89.99,13,No,YES,45-54,Friend
185,02/18/2025,Student,24.99,10,,no,35-44,Google
186,08/31/2025,Basic,$29.99,26,Yes,Yes,45-54,Instagram
187,07/10/2025,Premium,59.99,1,,,55+,Walk-in
188,03/04/2025,Family,89.99,27,,YES,18-24,Walk-in
189,11/04/2025,Student,24.99,3,,,25-34,Google
190,09/04/2025,Premium,$59.99,11,,no,18-24,Walk-in
191,10/21/2025,Premium,59.99,27,,,55+,Facebook
192,01/14/2025,Student,$24.99,5,No,,35-44,Walk-in
193,06/29/2025,Basic,$29.99,27,Yes,,45-54,Instagram
194,03/14/2025,Basic,$29.99,23,,No,45-54,Friend
195,08/21/2025,Student,$24.99,11,No,,35-44,Facebook
196,11/02/2025,Basic,$29.99,4,Yes,,18-24,Instagram
197,05/20/2025,Family,89.99,13,No,,45-54,Friend
198,05/20/2025,Premium,59.99,3,No,YES,18-24,Walk-in
199,10/31/2025,Family,89.99,21,No,Yes,25-34,Friend
200,11/03/2025,Basic,$29.99,6,No,No,25-34,Walk-in
201,05/29/2025,Student,$24.99,0,No,,45-54,Google
202,03/08/2025,Family,89.99,22,Yes,,55+,Walk-in
203,02/06/2025,Family,89.99,1,No,Yes,45-54,Instagram
204,06/10/2025,Family,89.99,12,,,45-54,Walk-in
205,02/28/2025,Family,$89.99,30,No,No,55+,Friend
206,07/05/2025,Basic,29.99,27,Yes,No,45-54,Facebook
207,07/25/2025,Basic,29.99,27,No,,35-44,Google
208,06/20/2025,Premium,$59.99,16,,Yes,55+,Facebook
209,04/10/2025,Student,24.99,23,,No,25-34,Instagram
210,03/16/2025,Student,$24.99,5,,No,18-24,Google
211,11/18/2025,Family,89.99,24,,,45-54,Facebook
212,11/26/2025,Student,24.99,10,Yes,YES,18-24,Friend
213,08/15/2025,Student,24.99,18,Yes,no,55+,Instagram
214,06/08/2025,Family,89.99,1,Yes,no,35-44,Instagram
215,11/27/2025,Basic,29.99,19,,YES,45-54,Facebook
216,10/11/2025,Basic,29.99,29,,,25-34,Walk-in
217,11/06/2025,Family,89.99,4,Yes,YES,18-24,Walk-in
218,02/13/2025,Premium,$59.99,7,,YES,45-54,Facebook
219,09/25/2025,Premium,59.99,11,No,YES,45-54,Walk-in
220,11/03/2025,Basic,29.99,20,No,Yes,35-44,Instagram
221,10/13/2025,Family,89.99,8,,,55+,Google
222,06/20/2025,Basic,29.99,21,Yes,no,35-44,Friend
223,03/08/2025,Basic,29.99,17,No,,35-44,Google
224,09/27/2025,Basic,29.99,21,No,,35-44,Instagram
225,07/05/2025,Student,$24.99,30,Yes,no,45-54,Google
226,04/26/2025,Premium,$59.99,2,No,Yes,55+,Facebook
227,09/27/2025,Basic,29.99,10,,No,55+,Friend
228,03/20/2025,Premium,$59.99,26,,,25-34,Friend
229,01/23/2025,Family,89.99,21,,No,45-54,Facebook
230,05/26/2025,Family,$89.99,17,Yes,no,45-54,Google
231,07/08/2025,Family,89.99,24,No,YES,55+,Facebook
232,08/03/2025,Premium,$59.99,25,,No,35-44,Instagram
233,11/25/2025,Family,89.99,17,Yes,,55+,Instagram
234,05/26/2025,Basic,$29.99,8,No,,25-34,Friend
235,02/16/2025,Premium,59.99,28,No,Yes,45-54,Instagram
236,07/22/2025,Student,$24.99,12,Yes,no,25-34,Instagram
237,06/13/2025,Basic,29.99,20,No,No,25-34,Instagram
238,05/27/2025,Family,89.99,26,Yes,,45-54,Friend
239,11/12/2025,Basic,$29.99,0,No,No,25-34,Facebook
240,11/08/2025,Family,$89.99,24,No,No,35-44,Instagram
241,01/25/2025,Premium,59.99,20,,YES,18-24,Instagram
242,09/13/2025,Basic,29.99,16,,No,25-34,Walk-in
243,08/08/2025,Basic,29.99,11,Yes,,45-54,Google
244,02/13/2025,Student,$24.99,30,,,55+,Facebook
245,10/11/2025,Basic,29.99,27,No,Yes,45-54,Walk-in
246,05/10/2025,Basic,29.99,25,Yes,no,25-34,Instagram
247,10/25/2025,Student,$24.99,1,No,,35-44,Google
248,08/26/2025,Family,89.99,5,Yes,Yes,45-54,Instagram
249,05/31/2025,Premium,$59.99,25,Yes,Yes,35-44,Walk-in
250,09/21/2025,Family,89.99,15,No,Yes,25-34,Walk-in
251,07/02/2025,Basic,29.99,10,No,Yes,35-44,Friend
252,07/24/2025,Family,89.99,10,Yes,YES,45-54,Walk-in
253,09/23/2025,Student,$24.99,23,No,Yes,45-54,Facebook
254,04/03/2025,Student,24.99,3,Yes,no,35-44,Walk-in
255,08/17/2025,Family,$89.99,22,No,no,45-54,Instagram
256,06/30/2025,Family,89.99,20,Yes,Yes,45-54,Walk-in
257,09/20/2025,Premium,$59.99,4,,,45-54,Instagram
258,03/06/2025,Basic,$29.99,24,,no,35-44,Friend
259,10/18/2025,Basic,29.99,4,,YES,35-44,Walk-in
260,08/16/2025,Basic,29.99,4,,no,45-54,Walk-in
261,05/23/2025,Premium,$59.99,0,,No,45-54,Facebook
262,07/18/2025,Basic,29.99,24,No,,45-54,Google
263,11/10/2025,Student,24.99,29,No,No,18-24,Google
264,02/07/2025,Family,$89.99,28,,YES,18-24,Walk-in
265,06/27/2025,Basic,29.99,17,No,no,25-34,Google
266,07/05/2025,Premium,$59.99,6,Yes,No,45-54,Instagram
267,07/04/2025,Student,24.99,25,,No,55+,Instagram
268,02/03/2025,Student,24.99,22,,YES,55+,Friend
269,07/29/2025,Basic,$29.99,10,,Yes,45-54,Friend
270,09/22/2025,Student,$24.99,28,,,55+,Google
271,03/08/2025,Family,89.99,29,Yes,Yes,55+,Google
272,06/05/2025,Premium,$59.99,10,,No,35-44,Facebook
273,05/26/2025,Basic,29.99,6,,,35-44,Google
274,11/17/2025,Student,24.99,17,Yes,,25-34,Facebook
275,10/25/2025,Premium,$59.99,21,,,55+,Walk-in
276,10/16/2025,Basic,$29.99,2,Yes,,55+,Walk-in
277,04/18/2025,Family,89.99,20,Yes,YES,55+,Walk-in
278,11/25/2025,Student,24.99,7,,YES,35-44,Friend
279,02/07/2025,Basic,$29.99,14,No,YES,45-54,Google
280,06/24/2025,Premium,59.99,27,,no,35-44,Friend
281,03/08/2025,Student,24.99,17,Yes,no,25-34,Friend
282,03/04/2025,Student,24.99,7,Yes,Yes,18-24,Walk-in
283,07/16/2025,Family,$89.99,30,Yes,no,55+,Walk-in
284,04/08/2025,Premium,59.99,16,No,YES,35-44,Friend
285,01/12/2025,Basic,29.99,16,No,No,25-34,Facebook
286,06/30/2025,Basic,$29.99,9,No,,45-54,Walk-in
287,10/02/2025,Basic,$29.99,13,Yes,no,35-44,Friend
288,07/07/2025,Basic,29.99,1,,,25-34,Walk-in
289,10/11/2025,Student,$24.99,12,,YES,55+,Walk-in
290,11/16/2025,Basic,$29.99,3,No,no,35-44,Facebook
291,07/07/2025,Premium,$59.99,19,,YES,55+,Instagram
292,01/24/2025,Basic,$29.99,22,No,YES,55+,Friend
293,03/18/2025,Premium,59.99,29,,no,25-34,Friend
294,11/12/2025,Student,24.99,10,,,55+,Friend
295,10/16/2025,Student,24.99,26,Yes,no,35-44,Instagram
296,08/02/2025,Student,24.99,27,,,18-24,Facebook
297,08/31/2025,Student,24.99,25,,,25-34,Instagram
298,10/26/2025,Family,$89.99,16,,,55+,Friend
299,03/17/2025,Premium,$59.99,18,,Yes,25-34,Instagram
300,08/14/2025,Student,24.99,4,No,,25-34,Friend
204,06/10/2025,Family,89.99,12,,,45-54,Walk-in
267,07/04/2025,Student,24.99,25,,No,55+,Instagram
153,06/04/2025,Premium,59.99,27,No,Yes,25-34,Friend
10,07/09/2025,Student,$24.99,21,No,,18-24,Facebook
234,05/26/2025,Basic,$29.99,8,No,,25-34,Friend
227,09/27/2025,Basic,29.99,10,,No,55+,Friend
197,05/20/2025,Family,89.99,13,No,,45-54,Friend
110,01/28/2025,Student,24.99,30,Yes,,45-54,Instagram
6,02/19/2025,Student,24.99,19,No,Yes,45-54,Facebook
176,05/02/2025,Student,$24.99,5,No,Yes,25-34,Friend
